NUSCTX,11
NUSCTX,10
ESPM,15
PHYSED,32
MCELLBI,102
PSYCH,C127
MCELLBI,C62
PLANTBI,11
GEOG,40
XGEOG,30
BIOENG,10
PSYCH,110
EPS,C129
INTEGBI,158LF
INTEGBI,131
ESPM,2
PBHLTH,162A
ESPM,6
PSYCH,133
ESPM,116B
XMCELLB,32
INTEGBI,11
ANTHRO,112
ANTHRO,135
XANTHRO,1
EPS,82
LDARCH,12
LS,C30T
INTEGBI,35AC
ESPM,108A
XINTEGB,33
ESPM,108B
ESPM,C129
COGSCI,C127
ESPM,40
ESPM,C107
ESPM,42
BIOLOGY,1B
BIOLOGY,1A
LDARCH,110
CHEM,C130
ESPM,C12
MCELLBI,C100A
ESPM,117
INTEGBI,C13
PSYCH,125
ESPM,C10
ASTRON,C13
PSYCH,121
MCELLBI,32
ANTHRO,107
MCELLBI,55
ESPM,118
